kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
10811496,"K00753.01",,297.004820,0.000000,"19h48m01.16s",48.134129,0.000000,"+48d08m02.9s",15.943,,15.390,,15.220,,15.166,,14.254,0.028,13.900,0.033,13.826,0.058,15.436,,"cumulative","Done","11111101110111011000000000000000","CANDIDATE","CANDIDATE",1,56,37.159767,187.4491,0.66240,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2711,0.3858,"Mandel and Agol (2002 ApJ 580 171)",76.30,,,175.850252,0.000581,-0.000581,0,,,,,,14.6,3.92,-1.31,0.1419,,,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,,,,10829,171,-171,19.89913995,1.494e-05,-1.494e-05,0.154046,5.034292,-0.042179,53.5,25.7,-25.7,88.96,,,638.0,,,5853.00,158.00,-176.00,4.544,0.044,-0.176,-0.1800,0.3000,-0.3000,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210,,,,"q1_q17_dr25_stellar",0.278,19.800320700,0.000001900,48.13412000,0.00002000,-0.02100,0.06900,-0.03800,0.07100,0.0007,0.0024,0.0006,0.0034,-0.0250,0.0700,-0.0340,0.0700,0.0420,0.0720,0.0020,0.0710,-0.0270,0.0740,0.0270,0.0740,"DEEP_V_SHAPED","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","010/010811/010811496/dv/kplr010811496-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455008.85,0.000581,-0.000581,"010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf",0,0,0,0,39.30,31.04,-10.49,7.29555,35.03293,-2.75453,"LS+MCMC",0.0000
11818800,"K00777.01",,294.316860,0.000000,"19h37m16.05s",50.080231,0.000000,"+50d04m48.8s",16.100,,15.463,,15.224,,15.091,,14.029,0.025,13.631,0.031,13.491,0.042,15.487,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,36,22.598503,94.071846,0.84820,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2665,0.3980,"Mandel and Agol (2002 ApJ 580 171)",36.90,,,173.56469,0.00222,-0.00222,0,,,,,,7.51,1.12,-0.91,0.2062,,,0.911,5.567,-0.118,3.362,0.14,-0.14,,,,6256,230,-230,40.4195037,0.0001139,-0.0001139,0.088069,5.461791,-0.013636,54.7,24.1,-24.1,89.05,,,467.0,,,5446.00,179.00,-163.00,4.507,0.116,-0.105,-0.5400,0.3500,-0.3000,0.7810,0.1160,-0.0950,0.7140,0.1040,-0.0370,,,,"q1_q17_dr25_stellar",0.027,19.621126700,0.000004000,50.08031600,0.00003800,0.09000,0.14000,0.31000,0.14000,0.0006,0.002,-0.0011,0.003,-0.0250,0.0720,0.0510,0.0760,0.0570,0.0770,-0.0490,0.0710,-0.0210,0.0750,0.0530,0.0720,"NO_COMMENT","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","011/011818/011818800/dv/kplr011818800-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455006.565,0.00222,-0.00222,"011/011818/011818800/dv/kplr011818800-20160209194854_dvr.pdf",0,0,0,0,11.29,5.67,-3.57,1.89549,5.83737,-1.19072,"LS+MCMC",0.9990
11918099,"K00780.02",,293.833310,0.000000,"19h35m19.99s",50.230350,0.000000,"+50d13m49.3s",16.110,,15.283,,15.001,,14.882,,13.810,0.022,13.300,0.023,13.195,0.037,15.334,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",2,168,3.2751372,9.1666,0.40490,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.1496,0.5746,"Mandel and Agol (2002 ApJ 580 171)",13.70,,,137.75545,0.002,-0.002,0,,,,,,19.45,1.4,-0.71,0.0692,,,1.198,49.85,-0.258,0.558,0.171,-0.171,,,,556.4,44.1,-44.1,7.2406612,1.617e-05,-1.617e-05,0.232818,49.98311,-0.203605,28.8,14.4,-14.4,87.62,,,734.0,,,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.1400,0.1500,-0.1500,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540,,,,"q1_q17_dr25_stellar",0.058,19.588885000,0.000033000,50.22996000,0.00034000,-0.10000,1.20000,-1.40000,1.20000,0.00016,0.0006,0.00075,0.00064,-0.5100,0.4600,-0.4900,0.6400,0.7100,0.5400,0.0800,0.4500,-0.3800,0.5600,0.3900,0.5600,"NO_COMMENT","2018-08-16 00:00:00",2,"q1_q17_dr25_tce","011/011918/011918099/dv/kplr011918099-002-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2454970.755,0.002,-0.002,"011/011918/011918099/dv/kplr011918099-20160209194854_dvr.pdf",0,0,0,0,68.63,15.32,-8.86,8.66412,682.61011,-6.85891,"LS+MCMC",0.9930
9579641,"K00115.03",,287.887330,0.000000,"19h11m32.96s",46.276241,0.000000,"+46d16m34.5s",13.111,,12.732,,12.654,,12.648,,11.811,0.021,11.555,0.020,11.503,0.013,12.791,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",3,357,3.8943021,7.4337807,0.02280,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2676,0.3928,"Mandel and Agol (2002 ApJ 580 171)",8.70,,,132.6624,0.011,-0.011,0,,,,,,0.55,0.08,-0.07,0.0437,,,0.624,0.037,-0.476,3.133,0.407,-0.407,,,,23.2,3.4,-3.4,3.43591631,4.729e-05,-4.729e-05,0.004612,0.000197,-0.000565,6.65,3,-3,84.62,,,1272.0,,,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,,"q1_q17_dr25_stellar",0.858,19.192473000,0.000033000,46.27616000,0.00034000,-0.60000,1.20000,-0.30000,1.20000,1.2e-05,3.1e-05,-3e-06,3e-05,0.0100,0.6400,-0.0500,0.9500,0.0500,0.9300,-0.1100,0.6600,-0.3000,1.0000,0.3000,1.0000,"NO_COMMENT","2018-08-16 00:00:00",3,"q1_q17_dr25_tce","009/009579/009579641/dv/kplr009579641-003-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2454965.662,0.011,-0.011,"009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf",0,0,0,0,617.61,251.11,-186.88,0.47024,1.06822,-0.44479,"LS+MCMC",0.8710
3115833,"K00797.01",,291.281950,0.000000,"19h25m07.67s",38.241669,0.000000,"+38d14m30.0s",16.162,,15.621,,15.441,,15.320,,14.408,0.029,14.036,0.033,13.939,0.062,15.657,,"cumulative","Done","01111111111111111000000000000000","CANDIDATE","CANDIDATE",1,129,27.099031,173.09894,0.53970,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2979,0.3238,"Mandel and Agol (2002 ApJ 580 171)",183.60,,,177.141891,0.000483,-0.000483,0,,,,,,7.73,2.17,-0.72,0.0884,,,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,,,,5741.1,53.2,-53.2,10.181584004,6.188e-06,-6.188e-06,0.084708,0.001876,-0.001718,12.776,0.528,-0.528,85.87,,,812.0,,,5988.00,179.00,-197.00,4.541,0.048,-0.192,-0.5200,0.3000,-0.3000,0.8360,0.2340,-0.0780,0.8850,0.0990,-0.0990,,,,"q1_q17_dr25_stellar",0.021,19.418792400,0.000001900,38.24164300,0.00002300,-0.15100,0.08100,-0.09900,0.08400,0.0008,0.0014,-0.0003,0.0017,0.0040,0.0690,0.0080,0.0690,0.0090,0.0690,-0.0620,0.0700,0.0600,0.0720,0.0870,0.0720,"NO_COMMENT","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","003/003115/003115833/dv/kplr003115833-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455010.142,0.000483,-0.000483,"003/003115/003115833/dv/kplr003115833-20160209194854_dvr.pdf",0,0,0,0,102.91,86.75,-28.91,0.38059,0.01574,-0.02879,"LS+MCMC",1.0000
3453214,"K00802.01",,293.816190,0.000000,"19h35m15.89s",38.563568,0.000000,"+38d33m48.8s",16.070,,15.519,,15.344,,15.269,,14.364,0.035,13.996,0.044,13.894,0.057,15.562,,"cumulative","Done","11111011101110111000000000000000","CANDIDATE","CANDIDATE",1,52,73.60154,353.8584,0.30630,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2676,0.3928,"Mandel and Agol (2002 ApJ 580 171)",340.50,,,181.881819,0.000148,-0.000148,0,,,,,,13.6,1.82,-0.92,0.1389,,,0.458,0.08,-0.165,2.0038,0.0292,-0.0292,,,,21724.6,85,-85,19.620346923,3.73e-06,-3.73e-06,0.137595,1e-05,-0.003638,77.9,22,-22,89.66,,,643.0,,,5710.00,76.00,-85.00,4.492,0.048,-0.112,-0.1000,0.1500,-0.1500,0.9050,0.1210,-0.0610,0.9280,0.0520,-0.0580,,,,"q1_q17_dr25_stellar",0.000,19.587740670,0.000000840,38.56341450,0.00000960,-0.22500,0.03500,-0.56000,0.03500,-0.0108,0.0049,-0.0133,0.0062,0.6560,0.0940,0.6340,0.0730,0.9130,0.0890,0.0560,0.0720,0.0570,0.0710,0.0800,0.0740,"CENT_KIC_POS","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","003/003453/003453214/dv/kplr003453214-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455014.882,0.000148,-0.000148,"003/003453/003453214/dv/kplr003453214-20160209194854_dvr.pdf",0,0,0,0,40.39,14.34,-7.31,23.21659,6.55933,-2.21333,"LS+MCMC",1.0000
4544670,"K00815.01",,285.920010,0.000000,"19h03m40.80s",39.624828,0.000000,"+39d37m29.4s",16.307,,15.646,,15.417,,15.322,,14.363,0.027,13.960,0.031,13.875,0.042,15.684,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,40,15.928789,75.6448,0.14750,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2434,0.4341,"Mandel and Agol (2002 ApJ 580 171)",76.80,,,172.633252,0.00094,-0.00094,0,,,,,,7.61,1.72,-0.91,0.1971,,,0.934,0.575,-0.031,2.9315,0.0702,-0.0702,,,,4523.6,82.5,-82.5,34.84398644,4.036e-05,-4.036e-05,0.080046,0.583651,-0.006303,49.31,5,-5,88.92,,,511.0,,,5509.00,166.00,-166.00,4.482,0.081,-0.150,-0.1600,0.3000,-0.3000,0.8710,0.1960,-0.1050,0.8400,0.1110,-0.0740,,,,"q1_q17_dr25_stellar",0.130,19.061339000,0.000004300,39.62477500,0.00005000,0.24000,0.18000,-0.20000,0.18000,-0.0012,0.0016,-0.0001,0.0019,0.0740,0.0950,0.0040,0.0860,0.0740,0.0950,-0.0030,0.0890,-0.2710,0.0850,0.2710,0.0850,"NO_COMMENT","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","004/004544/004544670/dv/kplr004544670-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455005.633,0.00094,-0.00094,"004/004544/004544670/dv/kplr004544670-20160209194854_dvr.pdf",0,0,0,0,16.10,11.10,-5.08,1.86832,0.19092,-0.82854,"LS+MCMC",1.0000
4936180,"K00820.01",,295.113710,0.000000,"19h40m27.29s",40.071171,0.000000,"+40d04m16.2s",15.662,,15.249,,15.102,,15.046,,14.224,0.028,13.954,0.032,13.785,0.051,15.270,,"cumulative","Done","11111011101110111000000000000000","CANDIDATE","CANDIDATE",1,227,14.098484,135.01852,0.90950,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.3000,0.2852,"Mandel and Agol (2002 ApJ 580 171)",296.90,,,173.64638,0.00261,-0.00261,0,,,,,,30.09,5.79,-3.14,0.0503,,,1.28,0.098,-0.07,35.512,0.274,-0.274,,,,2450.6,11.7,-11.7,4.64090031,1.485e-05,-1.485e-05,0.333559,0.087893,-0.075709,1.354,0.242,-0.242,19.01,,,1155.0,,,6463.00,205.00,-205.00,4.500,0.087,-0.163,-1.6600,0.3000,-0.2000,0.8260,0.1590,-0.0860,0.7860,0.0620,-0.0450,,,,"q1_q17_dr25_stellar",0.029,19.674246000,0.000002800,40.07118700,0.00002900,-0.05000,0.11000,0.06000,0.10000,-9e-05,0.00056,0.00051,0.00063,0.0070,0.0730,-0.0980,0.0720,0.0980,0.0720,-0.0730,0.0770,-0.1030,0.0720,0.1260,0.0730,"DEEP_V_SHAPED","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","004/004936/004936180/dv/kplr004936180-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455006.646,0.00261,-0.00261,"004/004936/004936180/dv/kplr004936180-20160209194854_dvr.pdf",0,0,0,0,421.08,257.38,-124.00,0.00218,0.00039,-0.00040,"LS+MCMC",0.0000
5115978,"K00823.01",,296.006990,0.000000,"19h44m01.68s",40.295429,0.000000,"+40d17m43.5s",15.662,,15.167,,15.005,,14.892,,14.019,0.027,13.702,0.033,13.598,0.048,15.202,,"cumulative","Done",,"CANDIDATE","CANDIDATE",1,,,,,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.3030,0.3107,"Mandel and Agol (2002 ApJ 580 171)",89.60,,,170.228582,0.00054,-0.00054,0,,,,,,72.77,27.71,-8.6,0.0197,,,1.5734,0.2599,-0.3164,1.8606,0.034,-0.034,,,,8098,127,-127,1.028436523,7.05e-07,-7.05e-07,0.673134,0.225626,-0.331949,2.891,0.184,-0.184,57.3,,,1947.0,,,6228.00,183.00,-219.00,4.428,0.077,-0.272,-0.4400,0.2800,-0.3000,0.9900,0.3770,-0.1170,0.9590,0.1210,-0.1110,,,,"stellar_q1_q16",,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-08-16 00:00:00",,,,"q1_q17_dr25_sup_koi","q1_q16_koi",2455003.229,0.00054,-0.00054,,0,0,0,0,3400.48,3879.25,-1109.02,0.43236,0.02753,-0.14255,"MCMC",
6867155,"K00868.01",,293.007970,0.000000,"19h32m01.91s",42.307201,0.000000,"+42d18m25.9s",16.343,,15.122,,14.670,,14.421,,13.251,0.025,12.678,0.024,12.515,0.025,15.172,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,6,157.44649,311.33582,0.63700,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.0563,0.7032,"Mandel and Agol (2002 ApJ 580 171)",271.80,,,208.399822,0.000898,-0.000898,0,,,,,,10.59,0.35,-0.52,0.6534,,,0.778,0.006,-0.008,8.2284,0.0606,-0.0606,,,,20714.6,91.7,-91.7,235.9986399,0.0002773,-0.0002773,0.14756,0.000838,-0.000994,184.83,7.9,-7.9,89.76,,,188.0,,,4245.00,85.00,-85.00,4.627,0.030,-0.018,0.1200,0.1500,-0.1500,0.6570,0.0220,-0.0320,0.6660,0.0310,-0.0310,,,,"q1_q17_dr25_stellar",0.000,19.533868400,0.000001100,42.30721600,0.00001200,0.14800,0.04600,0.05900,0.04200,-0.0041,0.0057,0,0.0076,0.0510,0.0670,-0.0220,0.0670,0.0560,0.0670,0.1150,0.0770,-0.0450,0.0760,0.1230,0.0770,"NO_COMMENT","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","006/006867/006867155/dv/kplr006867155-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455041.4,0.000898,-0.000898,"006/006867/006867155/dv/kplr006867155-20160209194854_dvr.pdf",0,0,0,0,0.29,0.05,-0.04,2.14449,0.09162,-0.08275,"LS+MCMC",0.9980
6526710,"K00856.01",,293.179290,0.000000,"19h32m43.03s",41.969238,0.000000,"+41d58m09.3s",15.804,,15.287,,15.147,,15.060,,14.131,0.025,13.824,0.034,13.767,0.053,15.344,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,34,123.3638,505.17914,0.25500,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2916,0.3447,"Mandel and Agol (2002 ApJ 580 171)",561.10,,,172.854644,0.000301,-0.000301,0,,,,,,14.21,4.46,-1.49,0.2311,,,0.881,0.003,-0.003,7.3051,0.0213,-0.0213,,,,15178.9,44.1,-44.1,39.74893077,1.554e-05,-1.554e-05,0.134949,0.001018,-0.001288,29.734,0.507,-0.507,88.3,,,552.0,,,6122.00,181.00,-218.00,4.487,0.052,-0.208,-0.1800,0.3000,-0.3000,0.9640,0.3030,-0.1010,1.0410,0.1390,-0.1390,,,,"q1_q17_dr25_stellar",0.000,19.545286360,0.000000530,41.96924140,0.00000570,0.01500,0.02100,0.00500,0.02100,-0.0049,0.0021,0.0017,0.0029,0.1190,0.0680,-0.0700,0.0710,0.1380,0.0690,0.0620,0.0680,0.0240,0.0700,0.0670,0.0680,"NO_COMMENT","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","006/006526/006526710/dv/kplr006526710-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455005.855,0.000301,-0.000301,"006/006526/006526710/dv/kplr006526710-20160209194854_dvr.pdf",0,0,0,0,21.87,20.59,-6.71,0.31474,0.00537,-0.00563,"LS+MCMC",0.9940
6599919,"K00858.01",,289.897770,0.000000,"19h19m35.46s",42.009151,0.000000,"+42d00m32.9s",15.607,,14.999,,14.825,,14.697,,13.702,0.021,13.307,0.025,13.245,0.030,15.060,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,101,36.547604,209.14677,0.99530,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2787,0.3728,"Mandel and Agol (2002 ApJ 580 171)",184.10,,,173.987319,0.000346,-0.000346,0,,,,,,19.02,4.92,-2.28,0.1061,,,1.081,0.347,-0.119,2.594,0.0194,-0.0194,,,,5732.9,38.1,-38.1,13.61014819,5.969e-06,-5.969e-06,0.192842,0.311636,-0.088824,20.24,2.2,-2.2,86.94,,,733.0,,,5697.00,154.00,-154.00,4.460,0.098,-0.182,-0.2600,0.3000,-0.3000,0.9030,0.2340,-0.1080,0.8570,0.1170,-0.0720,,,,"q1_q17_dr25_stellar",0.015,19.326522800,0.000001600,42.00918300,0.00001700,0.19100,0.06300,0.11800,0.06000,-0.00066,0.00057,0.00021,0.00069,0.0560,0.0750,-0.0450,0.0700,0.0720,0.0730,0.1390,0.0770,0.0800,0.0690,0.1600,0.0750,"DEEP_V_SHAPED","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","006/006599/006599919/dv/kplr006599919-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455006.987,0.000346,-0.000346,"006/006599/006599919/dv/kplr006599919-20160209194854_dvr.pdf",0,0,0,0,68.29,52.16,-20.86,0.84633,0.09034,-0.11004,"LS+MCMC",0.0000
6862328,"K00865.01",,291.583770,0.000000,"19h26m20.10s",42.368160,0.000000,"+42d22m05.4s",15.601,,15.024,,14.864,,14.780,,13.858,0.045,13.476,0.052,13.398,0.055,15.085,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,11,63.25567,165.9875,0.00010,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2240,0.4695,"Mandel and Agol (2002 ApJ 580 171)",223.50,,,222.236492,0.000704,-0.000704,0,,,,,,8.98,1.23,-1.35,0.4582,,,0.076,0.173,-0.076,8.1405,0.0382,-0.0382,,,,7430.5,38.4,-38.4,119.0207044,0.0001179,-0.0001179,0.077431,0.000688,-0.000272,120.05,2.5,-2.5,89.96,,,366.0,,,5453.00,81.00,-73.00,4.342,0.144,-0.108,0.1600,0.1500,-0.1500,1.0620,0.1460,-0.1600,0.9040,0.0620,-0.0390,,,,"q1_q17_dr25_stellar",0.000,19.438928900,0.000001500,42.36806200,0.00001400,0.40700,0.05900,-0.35100,0.05100,0.0043,0.001,-0.0041,0.0013,-1.5200,0.1800,1.7000,0.2100,2.2800,0.2700,0.0020,0.0740,-0.0780,0.0700,0.0780,0.0700,"CENT_KIC_POS","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","006/006862/006862328/dv/kplr006862328-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455055.236,0.000704,-0.000704,"006/006862/006862328/dv/kplr006862328-20160209194854_dvr.pdf",0,0,0,0,4.25,1.58,-1.34,2.31024,0.04736,-0.20030,"LS+MCMC",1.0000
7031517,"K00871.01",,291.119690,0.000000,"19h24m28.73s",42.507069,0.000000,"+42d30m25.4s",15.674,,15.167,,15.018,,14.948,,14.079,0.028,13.715,0.030,13.633,0.038,15.215,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,100,209.9436,1375.2338,0.81780,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.2865,0.3556,"Mandel and Agol (2002 ApJ 580 171)",307.50,,,179.423014,0.000206,-0.000206,0,,,,,,22.94,4.93,-1.96,0.1039,,,0.897,0.16,-0.072,2.4845,0.0165,-0.0165,,,,42450,198,-198,12.940668656,3.352e-06,-3.352e-06,0.259639,0.112395,-0.037754,35.21,4.3,-4.3,88.54,,,723.0,,,5875.00,140.00,-175.00,4.572,0.036,-0.144,-0.4200,0.3000,-0.3000,0.8090,0.1740,-0.0690,0.8950,0.0890,-0.0990,,,,"q1_q17_dr25_stellar",0.000,19.407973010,0.000000230,42.50704170,0.00000240,-0.25030,0.00910,-0.10190,0.00860,-0.0016,0.0045,0.0021,0.0061,-0.0020,0.0670,-0.0090,0.0670,0.0090,0.0670,-0.1430,0.0680,-0.1170,0.0680,0.1850,0.0680,"DEEP_V_SHAPED","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","007/007031/007031517/dv/kplr007031517-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455012.423,0.000206,-0.000206,"007/007031/007031517/dv/kplr007031517-20160209194854_dvr.pdf",0,0,0,0,64.64,40.22,-16.72,4.93266,0.59626,-0.21785,"LS+MCMC",0.0000
7380537,"K00883.01",,296.683070,0.000000,"19h46m43.94s",42.967869,0.000000,"+42d58m04.3s",16.587,,15.720,,15.414,,15.220,,14.178,0.038,13.631,0.041,13.522,0.045,15.766,,"cumulative","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",1,499,120.20046,1777.0094,0.00010,"Claret (2011 A&A 529 75) ATLAS LS",0.0000,0.0000,0.1392,0.5856,"Mandel and Agol (2002 ApJ 580 171)",1011.60,,,170.1020904,5.61e-05,-5.61e-05,0,,,,,,12.04,1.36,-0.79,0.0335,,,0.001,0.061,-0.001,2.11275,0.00254,-0.00254,,,,37491.6,44,-44,2.688899233,1.9e-07,-1.9e-07,0.172543,0.000204,-8.9e-05,11.4204,0.0214,-0.0214,90,,,929.0,,,4820.00,130.00,-144.00,4.667,0.027,-0.063,-0.4000,0.3500,-0.3000,0.6390,0.0720,-0.0420,0.6990,0.0590,-0.0720,,,,"q1_q17_dr25_stellar",0.000,19.778884130,0.000000130,42.96800770,0.00000140,0.53050,0.00520,0.49590,0.00510,0.0296,0.0032,0.0273,0.0043,-1.1300,0.2400,-1.0800,0.1500,1.5600,0.2700,0.1150,0.0680,0.0980,0.0690,0.1510,0.0680,"CENT_KIC_POS","2018-08-16 00:00:00",1,"q1_q17_dr25_tce","007/007380/007380537/dv/kplr007380537-001-20160209194854_dvs.pdf","q1_q17_dr25_sup_koi","q1_q17_dr25_koi",2455003.102,5.61e-05,-5.61e-05,"007/007380/007380537/dv/kplr007380537-20160209194854_dvr.pdf",0,0,0,0,175.76,66.28,-39.88,3.89722,0.00730,-0.04095,"LS+MCMC",0.9970
